998,752,752,752,752,752,752,752,752,752,752,752,752,1012,991,1005,909	اولین
1001,941,910,1012,752,752,752,752,752,752,752,752,752,752,947	سیاره
925,941,910,752,752,752,752,752,752,752,752,752,752,752,752,935	خارج
943,909	از
1002,752,752,752,752,752,752,752,995,1006,968,1000,995	منظومه
822,752,752,752,752,752,948,996,951	شمسی
1001,938,752,752,752,752,752,752,752,752,752,752,752,752,752,1192,937	دیده
938,752,752,752,752,752,752,752,752,752,752,752,752,752,752,951	شد
998,920,820,1000,752,752,752,752,752,951,909,1005	واشنگتن
16	-
821,941,909,944,752,752,752,752,752,819,942,914,935	خبرگزاری
821,941,1006,752,752,752,752,752,752,1004,996,927	جمهوری
822,995,1020,752,752,752,752,752,752,947,909	اسلامی
997,910,947,910,1000,951,3,1001,941,910,920,947	ستاره‌شناسان
938,752,752,752,752,752,1000,1192,1006,819,3,822,995	می‌گویند
1002,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,815	که
998,752,752,752,752,752,752,752,752,752,752,816,996,995	ممکن
918,752,752,752,752,752,752,752,752,752,752,752,947,909	است
909,941	را
938,1000,752,752,752,752,752,752,752,752,752,752,951,910,913	باشند
822,752,752,752,752,752,752,752,752,752,752,752,752,752,961	طی
821,910,1004,991,910,752,752,752,752,752,752,752,947	سالهای
942,752,752,752,752,752,752,752,752,752,752,752,752,752,1012,935,909	اخیر
748	،
950,752,752,752,752,752,752,752,752,752,752,752,752,1012,913	بیش
1005,937	دو
998,752,752,752,752,752,752,752,752,752,1012,927,1005,937	دوجین
941,937	در
941,909,938,752,752,752,752,752,752,752,752,752,752,752,752,752,995	مدار
977,909,942,752,752,752,752,752,752,752,752,752,752,961,909	اطراف
910,1003,3,1001,941,910,920,752,752,752,752,752,752,947	ستاره‌ها
978,752,752,752,752,752,752,752,752,752,752,952,815	کشف
938,999,909,3,1001,938,752,752,752,752,752,752,752,752,951	شده‌اند
998,752,752,752,752,752,752,752,752,752,752,752,752,816,1012,991	لیکن
944,752,752,752,752,752,752,752,752,752,752,752,752,819,942,1003	هرگز
998,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,1192,909	این
910,1003,3,1001,941,910,1012,752,752,752,752,752,752,947	سیاره‌ها
753,910,752,752,752,752,752,752,752,752,752,752,752,752,972,983,909,1005	واقعاً
1001,938,752,752,752,752,752,752,752,752,752,752,752,1192,938,999	ندیده
938,752,752,752,752,752,752,752,752,752,752,752,752,999,937,1006,913	بودند
1005	و
962,752,752,752,752,752,752,752,752,752,752,752,752,752,984,979	فقط
